"","date","oc_ID","movement_type","total_movement_dis","duration","angle_dev","avg_bear_head_dif","avg_bear_head_dif_dif"
"1","7_24",1,1,50.8987631860097,1.65,0.633876305346535,-0.80241684380929,0.508889721037925
"2","7_24",2,1,13.4483204862723,1.65,-0.263753701562396,1.86457068951257,-0.918578517379652
"3","7_24",4,2,6.03838921713096,2.2,-2.90831468685705,-1.49722853883327,-1.12591626559362
"4","7_24",5,2,4.17026060377187,4.21666666666667,0.886055175714039,-1.3938267224285,2.6374792137827
"5","7_24",8,2,0.451122090417797,2.38333333333333,0.115630680161843,2.12167956721532,0.769479976683895
"6","7_24",9,2,27.9645406387224,0.916666666666667,1.23738694748641,-3.83826178164763,0.0158167262993349
"7","7_24",10,2,1.91853627311332,4.58333333333333,0.0779781116710758,1.35273353614054,-0.563329218608231
"8","7_24",11,2,86.1233913366182,1.28333333333333,0.329998823365883,1.33917997340603,-0.104172421470555
"9","7_24",13,2,3.63369481887971,0.733333333333333,-4.9891030751662,1.55530645207031,1.54190291140942
"10","7_24",14,1,2.53635420447629,2.35,1.6656050990113,2.72948027293,-0.0612023470342551
"11","7_24",16,2,9.24084815037368,1.46666666666667,2.88383501199579,3.22106508604315,0.0378042425943999
"12","7_24",17,2,157.310091904422,2.2,0.231229619000281,-3.07134007132369,-0.0366196605566051
