DATE,OCNUM,MOVEMENT TYPE,START,END,DURATION
7_24,1,1,0,99,99
7_24,2,1,627,726,99
7_24,4,2,638,770,132
7_24,5,2,407,660,253
7_24,8,2,539,682,143
7_24,9,2,495,550,55
7_24,10,2,99,374,275
7_24,11,2,66,143,77
7_24,13,2,528,572,44
7_24,14,1,2376,2508,141
7_24,16,2,396,484,88
7_24,17,2,22,154,132
7_26,1,2,33,154,121
7_26,2,1,121,297,176
7_26,4,2,176,264,88
7_26,4,2,297,352,55
7_26,5,2,495,550,55
7_26,7,2,22,143,121
7_26,8,1,187,297,110
7_26,9,2,1177,1221,44
7_26,10,1,319,418,99
7_26,11,1,44,132,88
7_26,13,1,1375,1474,99
7_26,14,1,726,880,154
7_26,19,1,44,154,110
7_28,1,1,44,154,110
7_28,2,1,44,176,132
7_28,5,1,1023,1254,231
7_28,7,1,275,341,66
7_28,8,1,165,297,132
7_28,9,1,0,99,99
7_28,10,1,55,231,176
7_28,11,1,264,462,198
7_28,14,1,275,319,44
7_28,16,2,154,253,99
7_28,17,1,33,110,77
7_28,18,1,1133,1210,77
7_28,19,1,22,143,121
7_30,1,2,66,132,66
7_30,2,2,22,88,66
7_30,4,1,110,440,330
7_30,5,2,495,605,110
7_30,7,1,770,891,121
7_30,8,2,1177,1441,264
7_30,9,2,33,132,99
7_30,10,2,44,154,110
7_30,11,2,11,66,55
7_30,13,2,88,165,77
7_30,13,2,165,187,22
7_30,13,2,187,231,44
7_30,14,1,143,451,308
7_30,17,1,33,121,88
7_30,18,1,1045,1408,363
7_30,19,1,33,242,209
8_1,1,1,55,143,88
8_1,2,1,385,462,77
8_1,4,1,517,825,308
8_1,5,1,44,110,66
8_1,7,1,88,143,55
8_1,8,1,44,176,132
8_1,9,1,1331,1452,121
8_1,10,1,352,484,132
8_1,11,1,33,132,99
8_1,14,1,253,407,154
8_1,16,1,319,429,110
8_1,17,1,297,528,231
8_1,18,1,616,836,220
8_1,19,1,33,88,55
8_3,1,1,539,627,88
8_3,2,1,33,99,66
8_3,4,1,275,352,77
8_3,4,2,275,374,99
8_3,5,1,77,220,143
8_3,8,1,484,671,187
8_3,10,1,33,121,88
8_3,11,1,99,165,66
8_3,14,1,33,132,99
8_3,16,1,22,154,132
8_3,17,1,220,429,209
8_3,19,2,44,110,66
8_5,1,1,759,880,121
8_5,2,2,11,66,55
8_5,4,1,165,330,165
8_5,5,2,143,187,44
8_5,7,1,1749,1804,55
8_5,9,1,22,154,132
8_5,10,2,22,88,66
8_5,11,1,33,121,88
8_5,13,2,319,385,66
8_5,13,2,385,407,22
8_5,14,2,33,121,88
8_5,16,1,33,253,220
8_5,17,1,550,682,132
8_5,19,2,33,121,88
8_7,1,1,66,253,187
8_7,2,1,33,88,55
8_7,2,2,88,132,44
8_7,4,1,407,660,253
8_7,5,1,693,825,132
8_7,5,1,825,891,66
8_7,8,1,924,1023,99
8_7,9,1,187,418,231
8_7,10,1,110,275,165
8_7,11,1,33,99,66
8_7,11,2,99,132,33
8_7,12,1,264,451,187
8_7,14,1,33,99,66
8_7,14,2,99,132,33
8_7,16,1,33,121,88
8_7,16,2,121,154,33
8_7,17,1,44,121,77
8_7,19,1,121,231,110
8_9,1,1,572,627,55
8_9,2,1,0,55,55
8_9,4,2,99,198,99
8_9,5,1,22,286,264
8_9,7,2,44,88,44
8_9,8,2,451,550,99
8_9,9,1,22,121,99
8_9,10,1,77,220,165
8_9,11,1,209,308,99
8_9,12,1,374,539,165
8_9,12,2,539,583,44
8_9,13,2,418,506,88
8_9,14,1,22,121,99
8_9,16,2,1496,1551,55
8_9,17,1,154,209,55
8_9,17,2,209,231,22
8_9,18,1,275,550,275
8_9,19,1,55,330,275
8_11,1,1,99,154,55
8_11,2,2,44,99,55
8_11,4,2,77,132,55
8_11,5,2,66,132,66
8_11,7,2,198,264,66
8_11,7,2,264,297,33
8_11,8,2,88,154,66
8_11,9,2,55,88,33
8_11,10,2,55,121,66
8_11,11,2,33,99,66
8_11,13,1,341,462,121
8_11,14,1,44,220,176
8_11,16,1,33,77,44
8_11,16,2,77,132,55
8_11,17,2,66,121,55
8_11,18,1,165,484,319
8_11,19,1,99,319,220
8_13,1,2,22,77,55
8_13,2,2,22,88,66
8_13,4,2,44,121,77
8_13,4,2,121,143,22
8_13,5,2,55,110,55
8_13,7,1,308,451,143
8_13,8,2,220,319,-99
8_13,9,2,44,121,77
8_13,14,2,33,88,55
8_13,16,2,33,88,55
8_13,17,2,55,121,66
8_13,17,2,121,143,22
8_13,19,2,22,77,55
8_15,1,2,737,825,88
8_15,2,1,33,330,297
8_15,4,2,77,132,55
8_15,4,2,132,187,55
8_15,5,1,33,132,99
8_15,7,2,1265,1353,88
8_15,8,1,99,198,99
8_15,8,2,198,253,55
8_15,9,1,22,176,154
8_15,11,1,110,352,242
8_15,13,1,308,385,77
8_15,14,2,88,165,77
8_15,16,2,55,143,88
8_15,17,2,0,66,66
8_15,17,2,66,88,22
8_15,18,1,517,726,209
8_15,19,2,121,198,77
8_17,1,1,429,693,264
8_17,2,2,44,110,66
8_17,4,2,132,231,99
8_17,5,1,22,143,121
8_17,8,2,44,132,88
8_17,10,1,66,198,132
8_17,11,1,77,176,99
8_17,13,2,220,341,121
8_17,14,2,22,77,55
8_17,16,1,396,550,154
8_17,17,2,341,407,66
8_17,17,2,418,462,44
8_17,18,1,121,286,165
8_17,19,2,44,77,33
8_17,19,2,77,110,33
